City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Bredasdorp,ZA,-34.5322,20.0403,56.52,62,73,11.5,broken clouds,2022-03-14 01:29:32
1,Mataura,NZ,-46.1927,168.8643,65.48,49,47,4.41,scattered clouds,2022-03-14 01:29:33
2,Hobart,AU,-42.8794,147.3294,64.26,84,75,8.05,broken clouds,2022-03-14 01:29:33
3,Namatanai,PG,-3.6667,152.4333,85.62,59,28,8.25,scattered clouds,2022-03-14 01:29:34
4,Thompson,CA,55.7435,-97.8558,6.96,72,75,13.8,broken clouds,2022-03-14 01:29:34
5,Rikitea,PF,-23.1203,-134.9692,80.38,71,100,14.12,overcast clouds,2022-03-14 01:29:35
6,Ushuaia,AR,-54.8,-68.3,38.86,87,100,17.27,moderate rain,2022-03-14 01:28:02
7,Diamantina,BR,-18.2494,-43.6003,63.88,90,100,3.47,overcast clouds,2022-03-14 01:29:35
8,Kavieng,PG,-2.5744,150.7967,85.84,65,11,13.47,few clouds,2022-03-14 01:29:36
9,Qaanaaq,GL,77.484,-69.3632,-7.82,99,100,1.34,light snow,2022-03-14 01:29:36
10,Kapaa,US,22.0752,-159.319,80.58,67,20,10.36,few clouds,2022-03-14 01:29:37
11,Sinnamary,GF,5.3833,-52.95,76.39,92,100,11.01,moderate rain,2022-03-14 01:29:37
12,Saskylakh,RU,71.9167,114.0833,-12.33,97,94,3.98,overcast clouds,2022-03-14 01:29:38
13,Atuona,PF,-9.8,-139.0333,78.98,73,100,13.6,overcast clouds,2022-03-14 01:25:26
14,Jalu,LY,29.0331,21.5482,52.38,54,6,12.82,clear sky,2022-03-14 01:29:39
15,Shakawe,BW,-18.3667,21.85,71.49,72,100,4.32,overcast clouds,2022-03-14 01:29:39
16,Kosino,RU,58.4127,51.2782,12.07,97,100,2.57,overcast clouds,2022-03-14 01:29:40
17,Verkhnyaya Inta,RU,65.9811,60.3094,-3.51,93,13,3.24,few clouds,2022-03-14 01:29:40
18,Tabou,CI,4.423,-7.3528,79.09,85,100,4.92,overcast clouds,2022-03-14 01:29:41
19,Kodiak,US,57.79,-152.4072,40.51,81,100,24.16,light rain,2022-03-14 01:29:41
20,Sai Buri,TH,6.7013,101.6168,79.97,87,100,6.04,overcast clouds,2022-03-14 01:29:42
21,Norman Wells,CA,65.282,-126.8329,-3.96,54,0,3.44,clear sky,2022-03-14 01:29:42
22,Gat,IL,31.61,34.7642,47.08,100,100,7.87,overcast clouds,2022-03-14 01:29:43
23,Russell,US,32.3502,-85.1999,51.4,61,0,0.0,clear sky,2022-03-14 01:29:44
24,Ribeira Grande,PT,38.5167,-28.7,56.3,63,99,9.31,overcast clouds,2022-03-14 01:29:44
25,Takanabe,JP,32.1333,131.5,73.29,58,0,3.65,clear sky,2022-03-14 01:26:34
26,Bilibino,RU,68.0546,166.4372,0.61,81,64,1.57,broken clouds,2022-03-14 01:29:45
27,Albany,US,42.6001,-73.9662,27.75,57,83,1.01,broken clouds,2022-03-14 01:27:45
28,Oksovskiy,RU,62.6062,39.8984,17.62,97,60,5.53,broken clouds,2022-03-14 01:29:45
29,Chuy,UY,-33.6971,-53.4616,60.55,80,0,5.59,clear sky,2022-03-14 01:29:46
30,Sitka,US,57.0531,-135.33,42.69,56,100,17.27,overcast clouds,2022-03-14 01:29:46
31,Yellowknife,CA,62.456,-114.3525,-3.59,67,20,9.22,few clouds,2022-03-14 01:29:07
32,Lisala,CD,2.15,21.5167,68.23,96,100,2.33,overcast clouds,2022-03-14 01:29:47
33,Pisco,PE,-13.7,-76.2167,71.65,73,0,4.61,light rain,2022-03-14 01:29:47
34,Richards Bay,ZA,-28.783,32.0377,75.18,83,0,10.42,clear sky,2022-03-14 01:29:48
35,Mastic Beach,US,40.7668,-72.8521,29.77,80,100,11.01,overcast clouds,2022-03-14 01:29:49
36,Aklavik,CA,68.2191,-135.0107,2.03,83,100,9.44,overcast clouds,2022-03-14 01:29:49
37,Dakar,SN,14.6937,-17.4441,68.88,76,0,16.64,clear sky,2022-03-14 01:29:50
38,Jamestown,US,42.097,-79.2353,31.71,48,100,10.36,overcast clouds,2022-03-14 01:29:51
39,Hilo,US,19.7297,-155.09,82.13,67,75,12.66,broken clouds,2022-03-14 01:29:32
40,Vaini,TO,-21.2,-175.2,84.36,79,20,3.44,few clouds,2022-03-14 01:29:52
41,Tuktoyaktuk,CA,69.4541,-133.0374,-9.4,77,75,12.66,broken clouds,2022-03-14 01:29:52
42,Bluff,NZ,-46.6,168.3333,65.8,74,32,5.82,scattered clouds,2022-03-14 01:29:53
43,Tasiilaq,GL,65.6145,-37.6368,30.36,96,100,30.31,snow,2022-03-14 01:29:53
44,Hermanus,ZA,-34.4187,19.2345,52.81,67,96,12.57,light rain,2022-03-14 01:29:54
45,Guerrero Negro,MX,27.9769,-114.0611,62.15,67,0,20.02,clear sky,2022-03-14 01:29:54
46,Khatanga,RU,71.9667,102.5,-4.04,97,100,10.67,overcast clouds,2022-03-14 01:29:55
47,East London,ZA,-33.0153,27.9116,68.07,94,100,13.89,moderate rain,2022-03-14 01:26:41
48,Butaritari,KI,3.0707,172.7902,81.48,72,5,20.27,clear sky,2022-03-14 01:29:55
49,Kaitangata,NZ,-46.2817,169.8464,65.23,62,20,5.57,few clouds,2022-03-14 01:29:56
50,New Norfolk,AU,-42.7826,147.0587,63.9,61,100,1.99,overcast clouds,2022-03-14 01:29:56
51,Wilmington,US,34.2257,-77.9447,42.71,57,0,5.75,clear sky,2022-03-14 01:26:56
52,Saint-Philippe,RE,-21.3585,55.7679,76.59,87,100,11.86,moderate rain,2022-03-14 01:29:57
53,Vila Do Maio,CV,15.1333,-23.2167,68.79,77,1,23.15,clear sky,2022-03-14 01:29:57
54,Rio Gallegos,AR,-51.6226,-69.2181,48.25,46,0,27.63,clear sky,2022-03-14 01:26:39
55,Chokurdakh,RU,70.6333,147.9167,-6.74,87,100,3.94,overcast clouds,2022-03-14 01:29:58
56,Nicoya,CR,10.1483,-85.452,79.83,65,54,11.9,broken clouds,2022-03-14 01:29:59
57,Cabedelo,BR,-6.9811,-34.8339,79.47,77,94,11.01,overcast clouds,2022-03-14 01:29:59
58,Delmas,HT,18.5447,-72.3028,75.92,83,91,3.44,overcast clouds,2022-03-14 01:30:00
59,Clyde River,CA,70.4692,-68.5914,-10.97,77,100,21.85,snow,2022-03-14 01:30:00
60,Labuhan,ID,-6.8844,112.2051,82.76,79,97,4.52,overcast clouds,2022-03-14 01:30:01
61,Puerto Ayora,EC,-0.7393,-90.3518,79.56,92,25,1.99,scattered clouds,2022-03-14 01:30:02
62,Iqaluit,CA,63.7506,-68.5145,-23.31,67,20,10.36,few clouds,2022-03-14 01:29:53
63,Vardo,NO,70.3705,31.1107,33.39,91,94,6.91,overcast clouds,2022-03-14 01:30:03
64,Ulladulla,AU,-35.35,150.4667,76.77,76,20,6.04,light rain,2022-03-14 01:30:04
65,Cape Town,ZA,-33.9258,18.4232,58.12,72,75,1.14,broken clouds,2022-03-14 01:30:05
66,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,85,0,25.32,clear sky,2022-03-14 01:30:06
67,Pangnirtung,CA,66.1451,-65.7125,-26.66,88,19,5.79,few clouds,2022-03-14 01:30:07
68,Cravo Norte,CO,6.3017,-70.2041,86.76,47,100,3.98,overcast clouds,2022-03-14 01:30:08
69,Mar Del Plata,AR,-38.0023,-57.5575,67.08,88,4,13.0,clear sky,2022-03-14 01:29:10
70,San Cristobal,VE,7.7669,-72.225,71.78,98,100,1.61,overcast clouds,2022-03-14 01:30:09
71,Lompoc,US,34.6391,-120.4579,63.79,82,40,16.11,scattered clouds,2022-03-14 01:29:57
72,Purranque,CL,-40.9167,-73.1667,56.53,83,39,4.99,scattered clouds,2022-03-14 01:30:10
73,Kailua,US,21.4022,-157.7394,84.18,70,35,5.01,scattered clouds,2022-03-14 01:30:11
74,Saint Anthony,US,45.0205,-93.218,37.45,65,40,5.75,scattered clouds,2022-03-14 01:29:10
75,Busselton,AU,-33.65,115.3333,75.7,59,52,5.61,broken clouds,2022-03-14 01:30:11
76,Kinsale,IE,51.7075,-8.5306,40.37,81,40,9.22,scattered clouds,2022-03-14 01:30:12
77,Dong Hoi,VN,17.4833,106.6,73.29,86,76,4.81,broken clouds,2022-03-14 01:25:18
78,Punta Arenas,CL,-53.15,-70.9167,41.11,81,20,26.46,few clouds,2022-03-14 01:28:48
79,Isilkul,RU,54.9109,71.2728,2.08,93,100,10.6,overcast clouds,2022-03-14 01:30:13
80,Anadyr,RU,64.75,177.4833,-3.5,83,0,13.42,clear sky,2022-03-14 01:30:13
81,Tugulym,RU,57.0591,64.6425,-2.13,97,98,4.72,overcast clouds,2022-03-14 01:30:14
82,Nanortalik,GL,60.1432,-45.2371,29.34,94,100,23.15,snow,2022-03-14 01:30:14
83,Alofi,NU,-19.0595,-169.9187,80.49,89,14,4.61,few clouds,2022-03-14 01:30:15
84,Kondinskoye,RU,59.6481,67.41,-5.13,99,100,6.46,overcast clouds,2022-03-14 01:30:16
85,Ugoofaaru,MV,5.6667,73.0,82.24,74,78,5.97,broken clouds,2022-03-14 01:30:16
86,Saldanha,ZA,-33.0117,17.9442,51.85,63,92,16.13,overcast clouds,2022-03-14 01:30:17
87,Along,IN,28.1667,94.7667,66.49,51,0,1.39,clear sky,2022-03-14 01:27:03
88,Vao,NC,-22.6667,167.4833,79.32,79,38,13.94,scattered clouds,2022-03-14 01:30:17
89,Lupiro,TZ,-8.3833,36.6667,69.69,98,94,1.68,overcast clouds,2022-03-14 01:30:18
90,Nikolskoye,RU,59.7035,30.7861,32.88,99,100,3.36,overcast clouds,2022-03-14 01:30:19
91,Amahai,ID,-3.3333,128.9167,84.67,74,58,2.8,broken clouds,2022-03-14 01:30:19
92,West Bay,KY,19.3667,-81.4167,80.67,79,20,11.5,few clouds,2022-03-14 01:30:20
93,Chabahar,IR,25.2919,60.643,75.78,66,7,2.53,clear sky,2022-03-14 01:30:20
94,Palu,ID,-0.8917,119.8707,85.3,71,62,0.6,broken clouds,2022-03-14 01:30:21
95,Arraial Do Cabo,BR,-22.9661,-42.0278,77.74,87,6,16.2,clear sky,2022-03-14 01:28:37
96,Klaksvik,FO,62.2266,-6.589,45.52,95,75,14.03,broken clouds,2022-03-14 01:30:22
97,Kruisfontein,ZA,-34.0033,24.7314,58.89,85,100,20.51,light rain,2022-03-14 01:30:22
98,Vanimo,PG,-2.6741,141.3028,86.22,67,61,6.82,broken clouds,2022-03-14 01:30:23
99,Luan,CH,46.3592,6.9759,36.23,89,100,4.0,snow,2022-03-14 01:30:23
100,Fort Nelson,CA,58.8053,-122.7002,0.99,71,75,2.3,light snow,2022-03-14 01:30:24
101,Airai,TL,-8.9266,125.4092,74.55,59,74,1.23,broken clouds,2022-03-14 01:30:24
102,Salalah,OM,17.0151,54.0924,71.69,43,0,3.44,clear sky,2022-03-14 01:30:25
103,Bonthe,SL,7.5264,-12.505,77.31,92,98,5.5,overcast clouds,2022-03-14 01:30:26
104,Bathsheba,BB,13.2167,-59.5167,77.61,73,75,23.02,broken clouds,2022-03-14 01:30:26
105,Turukhansk,RU,65.8167,87.9833,-13.83,99,100,4.25,overcast clouds,2022-03-14 01:30:27
